State	District	First Name	Last Name	Party	Votes	Vote fraction	Winner
FL	23	Alcee L.	Hastings	D	172835	0.82183	
FL	23	Marion D., Jr.	Thorpe	R	37431	0.17798	
FL	23	April	Cook	W	40	0.00019	
FL	24	Suzanne M.	Kosmas	D	211284	0.57201	
FL	24	Tom	Feeney	R	151863	0.41114	
FL	24	Gaurav	Bhola	NPA	6223	0.01685	
FL	25	Mario	Diaz-Balart	R	130891	0.53054	
FL	25	Joe	Garcia	D	115820	0.46946	
GA	01	Jack	Kingston	R	165890	0.66533	
GA	01	Bill	Gillespie	D	83444	0.33467	
GA	02	Sanford	Bishop	D	158435	0.68949	
GA	02	Lee	Ferrell	R	71351	0.31051	
GA	03	Lynn	Westmoreland	R	225055	0.65694	
GA	03	Stephen	Camp	D	117522	0.34305	
GA	03	Loretta	VanPelt	W	3	0.00001	
GA	04	Henry C. "Hank," Jr.	Johnson	D	224494	0.99911	
GA	04	Loren Christopher	Collins	W	159	0.00071	
GA	04	Faye	Coffield	W	35	0.00016	
GA	04	Jacob	Perasso	W	6	0.00003	
GA	05	John	Lewis	D	231368	0.99954	
GA	05	Shira	Kash	W	81	0.00035	
GA	05	Jeanne	Fitzmaurice	W	25	0.00011	
GA	06	Tom	Price	R	231520	0.68483	
GA	06	Bill	Jones	D	106551	0.31517	
GA	07	John	Linder	R	209354	0.62028	
GA	07	Doug	Heckman	D	128159	0.37972	
GA	08	Jim	Marshall	D	157241	0.57244	
GA	08	Rick	Goddard	R	117446	0.42756	
GA	09	Nathan	Deal	R	217493	0.75511	
GA	09	Jeff	Scott	D	70537	0.24489	
GA	10	Paul	Broun	R	177265	0.60727	
GA	10	Bobby	Saxon	D	114638	0.39273	
GA	11	Phil	Gingrey	R	204082	0.68186	
GA	11	Hugh "Bud"	Gammon	D	95220	0.31814	
GA	12	John	Barrow	D	164562	0.66000	
GA	12	John	Stone	R	84773	0.34000	
GA	13	David	Scott	D	205919	0.69045	
GA	13	Deborah	Honeycutt	R	92320	0.30955	
GA	S	Saxby	Chambliss	R	1867097	0.49756	
GA	S	Jim	Martin	D	1757393	0.46833	
GA	S	Allen	Buckley	LBT	127923	0.03409	
GA	S	Eleanor	Garcia	W	43	0.00001	
GA	S	William, Jr.	Salomone	W	29	0.00001	
GU	00	Madeleine Z.	Bordallo	D	28247	0.96965	
GU	00		Scattered	W	884	0.03035	
HI	01	Neil	Abercrombie	D	154208	0.77136	
HI	01	Steve	Tataii	R	38115	0.19065	
HI	01	Li	Zhao	LBT	7594	0.03799	
HI	02	Mazie	Hirono	D	165748	0.76061	
HI	02	Roger B.	Evans	R	44425	0.20386	
HI	02	Shaun	Stenshol	I	4042	0.01855	
HI	02	Lloyd J. (Jeff)	Mallan	LBT	3699	0.01697	
ID	01	Walt	Minnick	D	175898	0.50606	
ID	01	Bill	Sali	R	171687	0.49394	
ID	02	Mike	Simpson	R	205777	0.70892	
ID	02	Deborah	Holmes	D	83878	0.28897	
ID	02	Gregory	Nemitz	W	612	0.00211	
ID	S	Jim	Risch	R	371744	0.57654	
ID	S	Larry	LaRocco	D	219903	0.34105	
